"","a","p","f_m","f_p","mosq_m","N_init","beta_min_m"
"21",0.614799276238639,0.273315604017305,0.975861006726437,0.952610557210961,3.98366961013767,120807.308710231,0.90481883197279
"22",0.609241179386501,0.233189191365076,0.971807147608869,0.944736748131234,3.97992902125186,138093.153571538,0.852731816182656
"23",0.630547423103993,0.267475658819026,0.979672633650436,0.957182196877194,4.32988827832095,136261.664106888,0.916027798855214
"24",0.56016705162636,0.230027082996597,0.971547080591078,0.950439789501162,3.84788207953216,137396.963018494,0.896952151088957
"25",0.528965623351244,0.253615145585716,0.972952461525227,0.945360742123158,3.77413454722983,127533.189725373,0.909987712002926
"26",0.5924193270285,0.271049296682528,0.976191081614249,0.957069309260723,4.0068748967728,123675.330158733,0.926410631333231
"27",0.626374226696425,0.245318857766915,0.962115648722262,0.95406677051593,4.0052191405287,131733.849363505,0.914030674047684
"28",0.543647089624342,0.235781563968745,0.97577900590652,0.949233771492848,3.63571942351146,134804.828031062,0.91253665539221
"29",0.625789158317409,0.281186075921109,0.959036762725583,0.955502181907731,4.18039908544076,121457.145219372,0.930347971674346
"30",0.581758664057406,0.237997371149978,0.971956411974074,0.93643033347127,4.08136430193047,137555.730356149,0.806902979795951
"31",0.675968468612748,0.293210271737165,0.964448374211822,0.960198432308352,4.46914111078524,127740.338551675,0.92178218238801
"32",0.596797444449174,0.241495554505227,0.96557439747205,0.928600372682649,3.97628894809458,133781.596018494,0.780138403462357
"33",0.606874867918524,0.244055753821895,0.976930250796767,0.950146999147102,3.94650540990323,136549.915880811,0.931006060970902
"34",0.646295863966603,0.250859919072024,0.970590528280622,0.955092947125561,4.07550422811615,129932.10891832,0.951212595252028
"35",0.63297373730902,0.257658876023119,0.967820147090921,0.957080322970185,4.08619191801684,132581.111436706,0.92306276146459
"36",0.575383551808521,0.274286457493072,0.975137023197335,0.952999795505761,3.92133564098893,116602.424501752,0.916656275762742
"37",0.607709825459357,0.277776735773509,0.980722244673646,0.952624072881578,4.23228695332468,120529.37475418,0.889360770570602
